start;end;width
[208.839207, 119.38];[208.829197, 119.39001];0.4
[208.829197, 119.39001];[204.73401, 119.39001];0.4
[196.85, 112.395];[203.2, 112.395];0.5
[170.18, 104.775];[154.305, 104.775];0.5
[170.18, 104.775];[185.42, 104.775];0.5
[185.42, 104.775];[186.69, 106.045];0.5
[186.69, 109.22];[186.69, 106.045];0.5
[151.765, 102.235];[147.955, 102.235];0.5
[154.305, 104.775];[151.765, 102.235];0.5
[186.69, 106.045];[187.96, 104.775];0.5
[196.85, 106.68];[194.945, 104.775];0.5
[196.85, 112.395];[196.85, 106.68];0.5
[186.69, 109.22];[186.69, 106.045];0.5
[187.96, 104.775];[194.945, 104.775];0.5
[201.93, 64.77];[205.74, 64.77];0.5
[198.755, 67.945];[201.93, 64.77];0.5
[205.74, 64.77];[210.185, 64.77];0.4
[198.755, 71.12];[198.755, 67.945];0.5
[210.185, 64.77];[210.82, 64.77];0.5
[190.5, 71.12];[198.755, 71.12];0.5
[213.36, 71.12];[215.265, 71.12];0.5
[212.725, 70.485];[213.36, 71.12];0.5
[166.37, 120.65];[147.955, 102.235];0.5
[210.82, 64.77];[212.725, 66.675];0.5
[206.375, 102.235];[219.075, 102.235];0.5
[203.2, 105.41];[203.2, 112.395];0.5
[219.075, 102.235];[220.345, 100.965];0.5
[220.345, 100.965];[220.345, 71.755];0.5
[220.345, 71.755];[219.71, 71.12];0.5
[219.71, 71.12];[215.265, 71.12];0.5
[203.2, 105.41];[206.375, 102.235];0.5
[212.725, 66.675];[212.725, 70.485];0.5
[204.47, 116.84];[210.185, 116.84];0.35
[210.185, 118.11];[210.185, 116.84];0.5
[203.2, 115.57];[204.47, 116.84];0.5
[203.2, 112.395];[203.2, 115.57];0.5
[210.185, 119.38];[210.185, 118.11];0.5
[182.245, 121.92];[184.7, 121.92];0.5
[184.7, 121.92];[189.23, 121.92];0.35
[185.42, 71.12];[190.5, 71.12];0.5
[180.975, 120.65];[182.245, 121.92];0.5
[179.07, 120.65];[180.975, 120.65];0.5
[175.26, 76.2];[180.34, 76.2];0.5
[210.185, 118.11];[215.265, 118.11];0.5
[180.34, 76.2];[185.42, 71.12];0.5
[140.97, 99.06];[140.97, 104.14];0.5
[140.97, 104.14];[142.24, 105.41];0.5
[142.24, 105.41];[144.78, 105.41];0.5
[144.78, 105.41];[147.955, 102.235];0.5
[179.07, 120.65];[166.37, 120.65];0.5
[148.807, 98.642];[148.807, 97.79];0.4
[148.807, 99.224];[148.717, 99.314];0.4
[148.807, 97.79];[148.807, 99.224];0.4
[86.868, 62.738];[86.868, 59.309];0.5
[86.868, 59.309];[87.757, 58.42];0.5
[82.296, 67.31];[86.868, 62.738];0.5
[78.74, 67.31];[82.296, 67.31];0.5
[107.95, 108.585];[103.632, 108.585];0.5
[103.632, 108.585];[100.33, 111.887];0.5
[111.76, 109.855];[111.76, 119.38];0.5
[111.125, 109.22];[111.76, 109.855];0.5
[107.95, 108.712];[111.125, 109.22];0.5
[100.33, 111.76];[97.79, 111.125];0.5
[125.73, 120.65];[125.73, 119.38];0.5
[115.57, 123.19];[123.19, 123.19];0.5
[111.76, 119.38];[115.57, 123.19];0.5
[123.19, 123.19];[125.73, 120.65];0.5
[153.67, 77.47];[149.225, 77.47];0.5
[153.67, 87.63];[149.225, 87.63];0.5
[153.67, 97.155];[153.67, 97.79];0.5
[153.67, 97.79];[158.115, 102.235];0.5
[207.645, 50.8];[207.645, 46.355];0.5
[179.07, 130.81];[180.975, 132.715];0.5
[207.645, 115.57];[205.105, 115.57];0.5
[221.615, 104.14];[220.98, 104.14];0.5
[221.615, 104.14];[222.25, 103.505];0.5
[220.98, 130.81];[220.98, 104.14];0.5
[218.44, 133.35];[220.98, 130.81];0.5
[222.25, 48.895];[222.25, 103.505];0.5
[205.105, 115.57];[204.47, 114.935];0.5
[204.47, 114.935];[204.47, 106.68];0.5
[204.47, 106.68];[207.01, 104.14];0.5
[207.01, 104.14];[220.98, 104.14];0.5
[219.71, 46.355];[207.645, 46.355];0.5
[156.845, 50.8];[175.26, 50.8];0.5
[195.58, 132.715];[196.215, 133.35];0.5
[175.26, 50.8];[175.26, 47.625];0.5
[179.07, 130.81];[179.07, 128.27];0.5
[207.645, 46.355];[176.53, 46.355];0.5
[175.26, 47.625];[176.53, 46.355];0.5
[222.25, 48.895];[219.71, 46.355];0.5
[196.215, 133.35];[218.44, 133.35];0.5
[195.58, 132.715];[180.975, 132.715];0.5
[152.4, 55.245];[152.4, 58.42];0.5
[156.845, 50.8];[152.4, 55.245];0.5
[189.865, 110.49];[189.865, 113.665];0.5
[140.335, 122.555];[144.78, 127.0];0.5
[217.805, 123.825];[217.17, 123.19];0.5
[217.805, 130.175];[217.805, 123.825];0.5
[205.74, 54.61];[208.915, 54.61];0.4318
[196.85, 54.61];[205.74, 54.61];0.5
[211.455, 53.34];[210.185, 54.61];0.5
[210.185, 54.61];[208.915, 54.61];0.5
[211.455, 53.34];[215.265, 53.34];0.5
[192.405, 125.73];[198.12, 131.445];0.5
[144.78, 127.0];[177.165, 127.0];0.5
[193.04, 107.315];[193.04, 75.565];0.5
[196.85, 67.31];[196.85, 54.61];0.5
[189.865, 123.19];[192.405, 125.73];0.5
[189.23, 114.3];[186.69, 114.3];0.5
[193.04, 75.565];[196.215, 72.39];0.5
[193.04, 107.315];[189.865, 110.49];0.5
[186.69, 125.73];[192.405, 125.73];0.5
[198.12, 131.445];[216.535, 131.445];0.5
[140.335, 121.92];[140.335, 122.555];0.5
[217.17, 123.19];[215.265, 123.19];0.5
[195.58, 53.34];[196.85, 54.61];0.5
[190.5, 53.34];[195.58, 53.34];0.5
[196.215, 67.945];[196.85, 67.31];0.5
[189.865, 110.49];[189.865, 123.19];0.5
[196.215, 72.39];[196.215, 67.945];0.5
[182.245, 125.73];[186.69, 125.73];0.5
[182.245, 125.73];[180.975, 127.0];0.5
[177.165, 127.0];[180.975, 127.0];0.4318
[216.535, 131.445];[217.805, 130.175];0.5
[189.865, 113.665];[189.23, 114.3];0.5
[132.715, 109.22];[135.255, 111.76];0.5
[192.405, 114.3];[192.405, 123.19];0.5
